entity_text,entity_label
Maira Masood,PERSON
"May 17, 2022 0 18353",DATE
Karez,PERSON
Advanced Bio-Ecological Drainage,ORG
"November 4, 2025",DATE
2025,DATE
"November 2, 2025",DATE
Courage,ORG
"October 31, 2025",DATE
2025,DATE
The Ocean of Knowledge,LOC
"October 28, 2025",DATE
Pakistan,GPE
Pashtuns,ORG
Pakistan,GPE
Pakistan,GPE
Pakistan,GPE
Pakistan,GPE
Pakistan,GPE
Pakistan,GPE
Indus,GPE
approximately five thousand years ago,DATE
Islamic,NORP
Pakistan,GPE
Pakistan,GPE
Arabic-Persian,NORP
a few decades,DATE
Indian,NORP
Holi,PERSON
Hindu,NORP
Christmas,DATE
Thanksgiving,DATE
Pakistan,GPE
Pakistan,GPE
Punjabis,ORG
Pathans,NORP
Balochi,GPE
Kashmiris,PERSON
Muhajirs,PERSON
India,GPE
Pakistan,GPE
Pakistan,GPE
Pashtuns,ORG
KPK,ORG
South,LOC
Punjabis,ORG
East,LOC
Pakistan,GPE
Pakistan,GPE
Pakistan,GPE
Urdu,GPE
English,LANGUAGE
daily,DATE
English,LANGUAGE
English,LANGUAGE
Urdu,GPE
Pakistan,GPE
Urdu and Punjabi,ORG
Balochi,GPE
Seraiki,ORG
Sindhi,PERSON
Urdu,GPE
Urdu,GPE
Pakistani,NORP
Pakistan,GPE
Pakistan,GPE
decades,DATE
Dining Etiquettes Food,ORG
Pakistani,NORP
Pakistani,NORP
biryani,PERSON
Pakistan,GPE
Muslim,NORP
Korean,NORP
Indian,NORP
American,NORP
Pakistan,GPE
Pakistan,GPE
Muslim,NORP
Pakistani,NORP
decades,DATE
Sindhis,GPE
Ajrak,ORG
today,DATE
daily,DATE
Pakistan,GPE
Gender Roles Traditionally,PERSON
Pakistan,GPE
Pakistan,GPE
Pakistan,GPE
Library Guides,PERSON
Maira Masood,PERSON
BS Biosciences,ORG
NUST,ORG
Pakistan,GPE
Post Views,ORG
Pakistan,GPE
Nabateans,NORP
2025,DATE
November 2,DATE
2025,DATE
2025,DATE
The Ocean of Knowledge,LOC
"October 28, 2025",DATE
Your Mind’s Secret Weapon,PERSON
"October 18, 2025",DATE
Karez,PERSON
Advanced Bio-Ecological Drainage,ORG
"November 4, 2025",DATE
2025,DATE
"November 2, 2025",DATE
Courage,ORG
"October 31, 2025",DATE
2025,DATE
The Ocean of Knowledge,LOC
October 28,DATE
2025,DATE
Sudden Goodbyes,PERSON
The Alarming Truth,ORG
"October 27, 2025",DATE
Password,PERSON
Us,GPE
C Pakistan Scientia Magazine,ORG
"Wednesday, November 5, 2025",DATE
Home Astronomy & Space Astronomy & Space Adapting,ORG
Astronauts’ Musculoskeletal Health Ayesha,ORG
2025,DATE
Astronomy & Space Space,ORG
the New Space Habitat Era,ORG
Malaika Awan - October,PERSON
2025,DATE
Astronomy & Space Cosmic Breakthrough,ORG
"September 28, 2025",DATE
Astronomy & Space Teen’s,ORG
Bushra Ushaq -,PERSON
"August 13, 2025",DATE
Astronomy & Space A Celestial Discovery: New Images Uncover the Hidden Companion of Betelgeuse Scientia - July 22,ORG
2025,DATE
The Alarming Truth,ORG
2025,DATE
"the Fight Against Antimicrobial Resistance Hadia Rashid - October 23,",ORG
2025,DATE
Mind-Blowing Tales,ORG
the Land of Ants,ORG
Abeer Asif - September,PERSON
2025,DATE
Mariam Mushtaq,PERSON
"September 15, 2025 Biology Can Your Brain Really Grow New Cells",DATE
"September 6, 2025 Technology",DATE
2025,DATE
Astronomy & Space AI,ORG
the Next Era of Interstellar Exploration,ORG
Wijdan Ali - August,PERSON
Slang Trip,PERSON
"Scientia - July 1, 2025",DATE
Bin Zaki - May,PERSON
Muhammad Hassan,PERSON
"Qazi - May 10, 2025",DATE
The Modern Alchemy,ORG
Abdul Wahab - September,PERSON
2025,DATE
Wijdan Ali - June,PERSON
Chord Muhammed Ahmed - May,PERSON
2025,DATE
Salam,PERSON
"January 29, 2025",DATE
The Next Frontier,ORG
Disruption,ORG
Ali Qureshi -,PERSON
2025,DATE
Interviews Interviews Sustainability,ORG
Leonard Burtscher,PERSON
Mujtaba Hassan,PERSON
2025,DATE
Mohammad Mustafa,PERSON
Careers Abeer Asif - July,PERSON
2025,DATE
Interviews Modern Warfare Redefined,ORG
the Indo-Pak War 2025,ORG
2025,DATE
Courage Khadija Tariq - October,PERSON
2025,DATE
Sudden Goodbyes,PERSON
The Alarming Truth,ORG
2025,DATE
Astronomy & Space Adapting,ORG
Astronauts’ Musculoskeletal Health Ayesha,ORG
Sindh’s Flood Crisis:,ORG
2025,DATE
Pakistan,GPE
Scientia Home Astronomy & Space Astronomy & Space Adapting,ORG
Astronauts’ Musculoskeletal Health Ayesha,ORG
2025,DATE
Astronomy & Space Space,ORG
the New Space Habitat Era,ORG
Malaika Awan - October,PERSON
2025,DATE
Astronomy & Space Cosmic Breakthrough,ORG
"September 28, 2025",DATE
Astronomy & Space Teen’s,ORG
Bushra Ushaq -,PERSON
"August 13, 2025",DATE
Astronomy & Space A Celestial Discovery: New Images Uncover the Hidden Companion of Betelgeuse Scientia - July 22,ORG
2025,DATE
The Alarming Truth,ORG
2025,DATE
"the Fight Against Antimicrobial Resistance Hadia Rashid - October 23,",ORG
2025,DATE
Mind-Blowing Tales,ORG
the Land of Ants,ORG
Abeer Asif - September,PERSON
2025,DATE
Mariam Mushtaq,PERSON
"September 15, 2025 Biology Can Your Brain Really Grow New Cells",DATE
"September 6, 2025 Technology",DATE
2025,DATE
Astronomy & Space AI,ORG
the Next Era of Interstellar Exploration,ORG
Wijdan Ali - August,PERSON
Slang Trip,PERSON
"Scientia - July 1, 2025",DATE
Bin Zaki - May,PERSON
Muhammad Hassan,PERSON
"Qazi - May 10, 2025",DATE
The Modern Alchemy,ORG
Abdul Wahab - September,PERSON
2025,DATE
Wijdan Ali - June,PERSON
Chord Muhammed Ahmed - May,PERSON
2025,DATE
Salam,PERSON
"January 29, 2025",DATE
The Next Frontier,ORG
Disruption,ORG
Ali Qureshi -,PERSON
2025,DATE
Interviews Interviews Sustainability,ORG
Leonard Burtscher,PERSON
Mujtaba Hassan,PERSON
2025,DATE
Mohammad Mustafa,PERSON
Careers Abeer Asif - July,PERSON
2025,DATE
Interviews Modern Warfare Redefined,ORG
the Indo-Pak War 2025,ORG
2025,DATE
Courage Khadija Tariq - October,PERSON
2025,DATE
Sudden Goodbyes,PERSON
The Alarming Truth,ORG
2025,DATE
Astronomy & Space Adapting,ORG
Astronauts’ Musculoskeletal Health Ayesha,ORG
Sindh’s Flood Crisis:,ORG
2025,DATE
Pakistan,GPE
Maira Masood,PERSON
"May 17, 2022 0 18353",DATE
Karez,PERSON
Advanced Bio-Ecological Drainage,ORG
"November 4, 2025",DATE
2025,DATE
"November 2, 2025",DATE
Courage,ORG
"October 31, 2025",DATE
2025,DATE
The Ocean of Knowledge,LOC
"October 28, 2025",DATE
Pakistan,GPE
Pashtuns,ORG
Pakistan,GPE
Pakistan,GPE
Pakistan,GPE
Pakistan,GPE
Pakistan,GPE
Pakistan,GPE
Indus,GPE
approximately five thousand years ago,DATE
Islamic,NORP
